year,BRA_03_f08,BRA_03_f10,BRA_03_f15,BRA_03_p10,BRA_12_f08,BRA_12_f10,BRA_12_f15,BRA_12_p10,ETH_03_f08,ETH_03_f10,ETH_03_f15,ETH_03_p10,ETH_12_f08,ETH_12_f10,ETH_12_f15,ETH_12_p10,SOM_03_f08,SOM_03_f10,SOM_03_f15,SOM_03_p10,SOM_12_f08,SOM_12_f10,SOM_12_f15,SOM_12_p10
1950,0.12097812097812098,0.07464607464607464,0.0,-0.8690164446830749,0.0888030888030888,0.05019305019305019,0.02252252252252252,-0.7370525201161703,0.4875688937265674,0.4038597764301387,0.21000708374367213,-1.9457285106182098,0.11013205710764411,0.05874324020802017,0.01028006703640353,-0.8242825388908386,0.3513777669180448,0.2919022179770539,0.1360662838610794,-1.7936919530232747,0.238035474305008,0.1813476681808591,0.0793229450114953,-1.4218082484967283
1951,0.21042471042471042,0.1628056628056628,0.043758043758043756,-1.1412174552679062,0.16731016731016732,0.12033462033462033,0.04247104247104247,-1.1110153198242188,0.0,0.0,0.0,0.4784291386604309,0.12776654745244387,0.11601789941083984,0.08517769830162926,-1.2199391722679138,0.05091240267889869,0.04243810877750259,0.014149738440863204,-0.1342032253742218,0.0,0.0,0.0,0.6119647026062012
1952,0.06692406692406692,0.032175032175032175,0.002574002574002574,-0.7346181464195252,0.1583011583011583,0.1138996138996139,0.01673101673101673,-1.0547553168402777,0.490442705183803,0.4067393470285711,0.22318399880209866,-1.9866705735524495,0.39059071511256244,0.29807011178493065,0.10129177537045679,-1.5160689167736838,0.4164954407632418,0.37115852371802704,0.2322711774048447,-1.8298544713429041,0.484545242511412,0.3995135333251885,0.18412430445261402,-1.6597573637962342
1953,0.05276705276705277,0.02895752895752896,0.0019305019305019305,-0.5124993324279785,0.027670527670527672,0.009009009009009009,0.0,-0.387238857421008,0.3054360533757206,0.24816139417290095,0.0528631570460213,-1.3606393356345066,0.4537569757597747,0.3788938993417301,0.18504120665526355,-1.7633678118387859,0.4504703621844353,0.35978542154891885,0.0878083454579784,-1.493156651655833,0.5212523740240125,0.41645101458289374,0.18411319790752692,-1.6757259666919708
1954,0.04954954954954955,0.03153153153153153,0.0006435006435006435,-0.4848940372467041,0.07464607464607464,0.055984555984555984,0.02445302445302445,-0.6368831098079681,0.43758530727897854,0.3700305810397554,0.16004653386087064,-1.7135390043258667,0.3186072092929503,0.259869728226127,0.13065187719207313,-1.6113194972276688,0.4872996656929928,0.43911947310550103,0.19549740662172227,-1.6388614007404871,0.620422715106012,0.5552495085353799,0.2549396359274521,-1.8839151859283447
1955,0.13320463320463322,0.07207207207207207,0.0,-0.8969081044197083,0.008365508365508366,0.002574002574002574,0.0,-0.24112290889024734,0.5594602532870299,0.4772197169958016,0.21581229807011182,-1.8197349707285564,0.4757338585670105,0.4360821714265969,0.364127461312969,-2.290187120437622,0.8895898352899363,0.8272710108066683,0.5126559081266592,-2.1424510955810545,0.8526938925108567,0.8300143274431623,0.7251907549118696,-2.45512055883587
1956,0.05276705276705277,0.04247104247104247,0.01866151866151866,-0.11110672603050868,0.06885456885456885,0.059202059202059204,0.03796653796653797,-0.0999298021197319,0.1262922073060465,0.09692634634323329,0.017622972062406053,-0.9887441794077555,0.25111583360689255,0.19238411168126607,0.09692634634323329,-1.4895801842212677,0.11616335506513993,0.053844530581871906,0.005675444539467109,-0.8565780558818399,0.3116385485966881,0.22948343458800277,0.07651298910447929,-1.4145519018173218
1957,0.26705276705276704,0.15508365508365507,0.006435006435006435,-1.1090543270111084,0.22072072072072071,0.1435006435006435,0.035392535392535396,-1.1122850179672241,0.3480133842441415,0.2613728640785086,0.14976070768327027,-1.9520139296849568,0.11159487897164776,0.06754320795682948,0.016154391057205546,-0.8285775482654572,0.20110621189066719,0.16712018392438668,0.1019580838988416,-1.5535142421722412,0.03967257905083466,0.019825182980330314,0.0,-0.5175854499128406
1958,0.2606177606177606,0.212998712998713,0.0933075933075933,-1.4825302613408942,0.31467181467181465,0.28185328185328185,0.18018018018018017,-1.9504369974136353,0.48601392560341405,0.3920362595529755,0.20702384860369624,-1.8227035701274872,0.37733893121857676,0.2877785264661334,0.12185190944326382,-1.5794656370973827,0.8554594222375246,0.7279451780934506,0.4305007941179738,-2.1384713649749756,0.7138509723780224,0.5552161889001188,0.23513666603729577,-1.6943273982471059
1959,0.13706563706563707,0.10167310167310167,0.05019305019305019,-1.015342116355896,0.11454311454311454,0.07078507078507079,0.015444015444015444,-0.8617865592241287,0.09692634634323329,0.06902330724442371,0.014685810052005043,-0.7547436555226644,0.4228707015209892,0.32303598887333923,0.16885226075087684,-1.8185301224390666,0.3144596110487911,0.2606150804669192,0.08496506991570134,-1.4600401163101195,0.7081644212934682,0.5438541932760976,0.24925308484289796,-1.9226045846939086
1960,0.11196911196911197,0.09073359073359073,0.04633204633204633,-0.918549470603466,0.14414414414414414,0.11454311454311454,0.032175032175032175,-1.1104546387990315,0.4390538882841791,0.32011034514533193,0.06461756422882219,-1.3871146765622226,0.2995617293549186,0.18060666793367774,0.039651687140413616,-1.165627224104745,0.32294501149527427,0.2549396359274521,0.03399713451136756,-1.2857738137245178,0.23793551539922478,0.13879849395248625,0.002832168997190045,-1.1007108688354492
1961,0.12483912483912483,0.07915057915057915,0.028314028314028315,-0.9208504185080528,0.3938223938223938,0.33783783783783783,0.1956241956241956,-1.8868834376335144,0.0,0.0,0.0,0.8891925573348999,0.00880572689000616,0.0029371620104010087,0.0,0.27597566445668537,0.0,0.0,0.0,0.5672001838684082,0.01132867598876018,0.002832168997190045,0.0,-0.30049083232879636
